Data,Time,Distance from the Object
20/03/2018,16:22:42,20.72
20/03/2018,16:22:43,20.77
20/03/2018,16:22:44,20.87
20/03/2018,16:22:45,19.86
20/03/2018,16:22:46,20.34
20/03/2018,16:22:47,20.78
20/03/2018,16:22:48,19.86
20/03/2018,16:22:49,20.73
20/03/2018,16:22:50,20.27
20/03/2018,16:22:51,20.31
20/03/2018,16:22:52,21.64
20/03/2018,16:22:53,21.23
20/03/2018,16:22:54,21.68
20/03/2018,16:22:55,21.78
20/03/2018,16:22:56,21.21
20/03/2018,16:22:57,21.63
20/03/2018,16:22:58,21.23
20/03/2018,16:22:59,19.91
20/03/2018,16:23:00,20.32
20/03/2018,16:23:01,20.29
20/03/2018,16:23:02,19.86
20/03/2018,16:23:03,21.63
20/03/2018,16:23:04,20.32
20/03/2018,16:23:05,20.72
20/03/2018,16:23:06,21.22
20/03/2018,16:23:07,19.86
20/03/2018,16:23:08,20.32
20/03/2018,16:23:09,20.29
20/03/2018,16:23:10,20.31
20/03/2018,16:23:11,20.31
20/03/2018,16:23:12,21.68
20/03/2018,16:23:13,20.29
20/03/2018,16:23:14,20.36
20/03/2018,16:23:16,20.86
20/03/2018,16:23:16,20.31
20/03/2018,16:23:17,20.68
20/03/2018,16:23:18,19.88
20/03/2018,16:23:19,21.16
20/03/2018,16:23:20,20.34
20/03/2018,16:23:21,20.33
20/03/2018,16:23:23,20.27
20/03/2018,16:23:23,20.34
20/03/2018,16:23:24,20.34
20/03/2018,16:23:25,21.23
20/03/2018,16:23:26,21.64
20/03/2018,16:23:27,20.36
20/03/2018,16:23:28,20.31
20/03/2018,16:23:29,20.33
20/03/2018,16:23:30,20.39
20/03/2018,16:23:31,20.34
20/03/2018,16:23:32,20.33
20/03/2018,16:23:33,20.77
20/03/2018,16:23:34,20.75
20/03/2018,16:23:35,20.34
20/03/2018,16:23:36,21.66
